url,path,in_sitemap,prerendered,local_status,local_status_note,prod_status,prod_location,title,title_len,meta_description,meta_len,canonical,canonical_self,robots,noindex,indexable,h1_count,h1,hreflang,hreflang_ok,hreflang_issues,schema_types,out_links,out_links_to_noindex,out_links_to_redirect,in_links,in_links_from_indexable,in_links_pct_of_pages,has_phone,has_form,gsc_clicks_90d,gsc_impressions_90d,gsc_position_90d,leads_90d,backlinks,decision
https://capitalcleancare.com,/,1,1,200,static (rule shadowed),,,"Eco-Friendly House Cleaning MD, DC & VA | Capital Clean Care",60,"Professional eco-friendly house cleaning in Maryland, DC & Virginia. EPA Safer Choice certified. 5.0 stars. 15% OFF first clean. Call (240) 704-2551.",149,https://capitalcleancare.com/,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,"Professional Eco-Friendly House Cleaningin Maryland, DC & Virginia",en=/ | es=/es | x-default=/,1,,"AdministrativeArea,AggregateRating,Answer,BreadcrumbList,FAQPage,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ImageObject,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Organization,Place,PostalAddress,Question,Service,State,VideoObject,WebSite",68,0,8,1225,299,100.0,1,1,,,,,,
https://capitalcleancare.com/about,/about,1,1,200,rewrite → /about/,,,"About Capital Clean Care — Eco-Friendly Cleaning in MD, DC & VA",63,"The story behind Capital Clean Care: a family-founded eco-friendly cleaning service serving MD, DC & VA since 2015. Learn about our GreenShield 5-Step Clean™ methodology, our licensed team, and our 100% satisfaction guarantee.",226,https://capitalcleancare.com/about,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,We Clean Like It's Our Own Home,en=/about | es=/es/nosotros | x-default=/about,1,,"AboutPage,AdministrativeArea,Answer,BreadcrumbList,FAQPage,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Person,Place,PostalAddress,Question,Service,State",58,0,0,1208,283,98.6,1,1,,,,,,
https://capitalcleancare.com/apartment-cleaning-takoma-park-md,/apartment-cleaning-takoma-park-md,1,1,200,static (rule shadowed),,,Apartment Cleaning in Takoma Park MD | Capital Clean Care,57,"Eco-friendly apartment cleaning in Takoma Park, MD. Plant-based products aligned with Takoma Park values. Serving Old Town, Flower Ave & Long Branch. Free quotes.",162,https://capitalcleancare.com/apartment-cleaning-takoma-park-md,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,"Apartment Cleaning in Takoma Park, MD",en=/apartment-cleaning-takoma-park-md | x-default=/apartment-cleaning-takoma-park-md,1,,"AdministrativeArea,Answer,BreadcrumbList,FAQPage,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Place,PostalAddress,Question,Service,State",61,0,1,2,2,0.2,1,1,,,,,,
https://capitalcleancare.com/careers,/careers,1,1,200,rewrite → /careers/,,,"Join Our Team — Cleaning Jobs in MD, DC & VA | Capital Clean Care",65,"Join the Capital Clean Care team! We're hiring professional house cleaners in Maryland, DC & Northern Virginia. Competitive pay, flexible hours, eco-friendly products. Apply today.",180,https://capitalcleancare.com/careers,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,Join the Capital Clean Care Family,en=/careers | x-default=/careers,1,,"AdministrativeArea,BreadcrumbList,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Place,PostalAddress,Service,State",58,0,0,1225,299,100.0,1,1,,,,,,
https://capitalcleancare.com/contact,/contact,1,1,200,rewrite → /contact/,,,"Get a Free Cleaning Quote in MD, DC & VA | Capital Clean Care",61,"Request your free house cleaning quote from Capital Clean Care. Serving Maryland, DC & Virginia. Call (240) 704-2551 or fill out our form — 15% off first clean!",160,https://capitalcleancare.com/contact,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,Get a Free Quote,en=/contact | es=/es/contacto | x-default=/contact,1,,"AdministrativeArea,AggregateRating,BreadcrumbList,ContactPage,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Place,PostalAddress,Service,State",58,0,0,1208,283,98.6,1,1,,,,,,
https://capitalcleancare.com/es,/es,1,1,200,static (rule shadowed),,,"Limpieza de Casas en Montgomery County, MD | Capital Clean Care",63,"Servicio profesional de limpieza de casas en Montgomery County, MD. Negocio familiar, 5★ en Google, asegurados y con fianza. ¡Hablamos español! Llama (240) 704-2551",164,https://capitalcleancare.com/es,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,"Limpieza de Casas en Montgomery County, MD — Hecha con Cariño",en=/ | es=/es | x-default=/,1,,"AdministrativeArea,Answer,BreadcrumbList,FAQPage,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ImageObject,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Organization,Place,PostalAddress,Question,Service,State,VideoObject",59,0,0,1210,286,98.8,1,1,,,,,,
https://capitalcleancare.com/es/areas/aspen-hill-md,/es/areas/aspen-hill-md,1,1,200,rewrite → /es/areas/aspen-hill-md/,,,Limpieza de Casas Aspen Hill MD en Español | Capital Clean Care,63,"Servicio de limpieza de casas en Aspen Hill, MD. Equipo bilingüe, asegurado, 5★. Hablamos español. Llama (240) 704-2551",119,https://capitalcleancare.com/es/areas/aspen-hill-md,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,"Limpieza de Casas en Aspen Hill, MD",es=/es/areas/aspen-hill-md | x-default=/es/areas/aspen-hill-md,1,,"AdministrativeArea,BreadcrumbList,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Place,PostalAddress,Service,State",57,0,0,17,16,1.4,1,1,,,,,,
https://capitalcleancare.com/es/areas/gaithersburg-md,/es/areas/gaithersburg-md,1,1,200,rewrite → /es/areas/gaithersburg-md/,,,Limpieza de Casas Gaithersburg MD en Español | Capital Clean Care,65,"Servicio de limpieza de casas en Gaithersburg, MD. Equipo bilingüe, asegurado. Lakelands, Rio, Crown. Llama (240) 704-2551",122,https://capitalcleancare.com/es/areas/gaithersburg-md,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,"Limpieza de Casas en Gaithersburg, MD",en=/locations/gaithersburg-md | es=/es/areas/gaithersburg-md | x-default=/locations/gaithersburg-md,1,,"AdministrativeArea,BreadcrumbList,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Place,PostalAddress,Service,State",57,0,0,18,17,1.5,1,1,,,,,,
https://capitalcleancare.com/es/areas/germantown-md,/es/areas/germantown-md,1,1,200,rewrite → /es/areas/germantown-md/,,,Limpieza de Casas Germantown MD en Español | Capital Clean Care,63,"Servicio de limpieza en Germantown, MD. Equipo bilingüe, asegurado. Clarksburg, Black Hill, Waters Landing. Llama (240) 704-2551",128,https://capitalcleancare.com/es/areas/germantown-md,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,"Limpieza de Casas en Germantown, MD",es=/es/areas/germantown-md | x-default=/es/areas/germantown-md,1,,"AdministrativeArea,BreadcrumbList,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Place,PostalAddress,Service,State",58,1,0,18,16,1.5,1,1,,,,,,
https://capitalcleancare.com/es/areas/montgomery-village-md,/es/areas/montgomery-village-md,1,1,200,rewrite → /es/areas/montgomery-village-md/,,,Limpieza de Casas Montgomery Village MD en Español | Capital Clean Care,71,"Servicio de limpieza en Montgomery Village, MD. Equipo bilingüe, asegurado, 5★. Lake Forest, Goshen. Llama (240) 704-2551",121,https://capitalcleancare.com/es/areas/montgomery-village-md,1,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",0,1,1,"Limpieza de Casas en Montgomery Village, MD",es=/es/areas/montgomery-village-md | x-default=/es/areas/montgomery-village-md,1,,"AdministrativeArea,BreadcrumbList,GeoCoordinates,HomeAndConstructionBusiness/LocalBusiness,ListItem,Offer,OfferCatalog,OpeningHoursSpecification,Place,PostalAddress,Service,State",58,1,0,18,16,1.5,1,1,,,,,,
